OrderID,OrderDate,ShipDate,ShipMode,CustomerID,CustomerName,Segment,Region,Category,SubCategory,ProductID,ProductName,Sales,Quantity,Discount,Profit,ShippingCost
ORD-100000,2024-02-01,2024-02-05,First Class,CUST-6390,David Wilson,Consumer,East,Technology,Phones,PROD-1860,Phones PROD-1860,23.09,8,0.15,-2.08,2.82
ORD-100001,2024-12-08,2024-12-14,Second Class,CUST-6311,Sandra Clark,Corporate,East,Technology,Machines,PROD-3433,Machines PROD-3433,33.29,9,0.05,4.99,2.13
ORD-100002,2025-02-08,2025-02-11,First Class,CUST-8734,Karen Walker,Consumer,Central,Office Supplies,Art,PROD-2899,Art PROD-2899,14.88,5,0.0,1.64,1.76
ORD-100003,2024-12-22,2024-12-30,Second Class,CUST-4152,Patricia Garcia,Corporate,South,Office Supplies,Paper,PROD-9226,Paper PROD-9226,32.26,6,0.1,0.0,4.74
ORD-100004,2022-12-31,2023-01-02,First Class,CUST-1995,Susan Martin,Corporate,Central,Technology,Copiers,PROD-5297,Copiers PROD-5297,18.96,2,0.1,1.9,2.78
ORD-100005,2021-07-07,2021-07-16,Standard Class,CUST-3062,Richard Smith,Home Office,East,Office Supplies,Labels,PROD-6276,Labels PROD-6276,17.28,1,0.0,0.86,2.27
ORD-100006,2022-08-16,2022-08-24,Standard Class,CUST-4561,Michael Hall,Home Office,East,Office Supplies,Labels,PROD-6892,Labels PROD-6892,12.83,7,0.05,1.03,1.58
ORD-100007,2022-12-27,2022-12-30,Second Class,CUST-9110,Susan Williams,Consumer,East,Office Supplies,Art,PROD-6056,Art PROD-6056,18.99,7,0.0,4.37,1.16
ORD-100008,2023-06-11,2023-06-14,Standard Class,CUST-3790,Thomas Robinson,Corporate,East,Office Supplies,Art,PROD-1863,Art PROD-1863,31.07,4,0.25,-1.55,3.71
ORD-100009,2025-12-25,2025-12-27,Same Day,CUST-4627,Karen Wright,Home Office,West,Technology,Phones,PROD-3693,Phones PROD-3693,63.03,7,0.2,-4.41,3.85
ORD-100010,2024-11-01,2024-11-10,Second Class,CUST-8526,Jennifer Wilson,Consumer,Central,Office Supplies,Binders,PROD-6864,Binders PROD-6864,11.61,8,0.25,-1.39,1.18
ORD-100011,2024-06-10,2024-06-14,First Class,CUST-2853,Thomas Hall,Corporate,South,Furniture,Chairs,PROD-6232,Chairs PROD-6232,31.74,3,0.05,2.22,1.7
ORD-100012,2021-04-23,2021-04-25,Second Class,CUST-1854,Robert Smith,Home Office,East,Furniture,Chairs,PROD-5737,Chairs PROD-5737,5.76,6,0.0,1.27,0.73
ORD-100013,2021-05-03,2021-05-04,Second Class,CUST-5389,Lisa Brown,Corporate,South,Office Supplies,Paper,PROD-9958,Paper PROD-9958,42.1,1,0.0,7.58,5.03
ORD-100014,2025-11-30,2025-12-04,First Class,CUST-8098,Patricia Martinez,Home Office,West,Furniture,Tables,PROD-3811,Tables PROD-3811,14.01,9,0.15,0.0,2.01
ORD-100015,2022-10-03,2022-10-12,Same Day,CUST-6534,Ashley Taylor,Home Office,Central,Technology,Phones,PROD-7616,Phones PROD-7616,17.55,9,0.1,0.35,2.63
ORD-100016,2021-09-11,2021-09-16,Same Day,CUST-8158,William Moore,Home Office,Central,Furniture,Tables,PROD-4108,Tables PROD-4108,17.41,1,0.1,-0.52,1.15
